recieved: 2024-02-20 08:23:15.753442 - Start!
2024-02-20 08:27:46.917179 - Motion detected!
2024-02-20 08:29:50.436996 - Motion detected!
2024-02-20 08:30:20.532897 - Motion detected!
2024-02-20 08:30:53.622490 - Motion detected!
2024-02-20 08:31:23.714110 - Motion detected!
2024-02-20 08:44:49.984092 - Motion detected!
2024-02-20 08:45:20.074315 - Motion detected!
2024-02-20 08:45:53.164017 - Motion detected!
2024-02-20 08:46:23.255718 - Motion detected!
2024-02-20 08:46:53.336995 - Motion detected!
2024-02-20 08:47:23.437002 - Motion detected!
2024-02-20 08:49:26.792471 - Motion detected!
2024-02-20 08:50:26.958516 - Motion detected!
2024-02-20 08:51:03.068127 - Motion detected!
2024-02-20 08:51:33.152585 - Motion detected!
2024-02-20 08:52:03.254970 - Motion detected!
2024-02-20 08:52:39.354103 - Motion detected!
2024-02-20 08:53:18.458510 - Motion detected!
2024-02-20 08:53:54.557029 - Motion detected!
2024-02-20 08:54:27.646982 - Motion detected!
2024-02-20 08:54:57.728638 - Motion detected!
2024-02-20 08:56:12.932485 - Motion detected!
2024-02-20 08:56:43.015507 - Motion detected!
2024-02-20 08:57:19.144451 - Motion detected!
2024-02-20 08:58:37.362471 - Motion detected!
2024-02-20 09:02:32.034017 - Motion detected!
2024-02-20 09:03:32.204007 - Motion detected!
2024-02-20 09:04:11.317001 - Motion detected!
2024-02-20 09:04:53.432504 - Motion detected!
2024-02-20 09:05:26.536995 - Motion detected!
2024-02-20 09:06:02.643586 - Motion detected!
2024-02-20 09:07:26.876982 - Motion detected!
2024-02-20 09:09:27.203975 - Motion detected!
2024-02-20 09:10:09.325566 - Motion detected!
2024-02-20 09:10:39.406987 - Motion detected!
2024-02-20 09:11:45.585491 - Motion detected!
2024-02-20 09:12:15.667005 - Motion detected!
2024-02-20 09:12:45.748497 - Motion detected!
2024-02-20 09:15:25.176995 - Motion detected!
2024-02-20 09:17:46.564002 - Motion detected!
2024-02-20 09:18:25.688493 - Motion detected!
2024-02-20 09:19:10.845204 - Motion detected!
2024-02-20 09:19:40.927009 - Motion detected!
2024-02-20 09:20:23.048499 - Motion detected!
2024-02-20 09:21:11.186995 - Motion detected!
2024-02-20 09:21:41.268501 - Motion detected!
2024-02-20 09:22:14.375489 - Motion detected!
2024-02-20 09:22:59.495522 - Motion detected!
2024-02-20 09:23:56.655488 - Motion detected!
2024-02-20 09:24:38.788509 - Motion detected!
2024-02-20 09:25:11.886987 - Motion detected!
2024-02-20 09:25:41.968497 - Motion detected!
2024-02-20 09:26:45.145515 - Motion detected!
2024-02-20 09:27:24.252492 - Motion detected!
2024-02-20 09:28:51.485486 - Motion detected!
2024-02-20 09:29:45.632482 - Motion detected!
2024-02-20 09:33:04.182487 - Motion detected!
2024-02-20 09:33:34.264204 - Motion detected!
2024-02-20 09:34:07.366886 - Motion detected!
2024-02-20 09:35:13.576996 - Motion detected!
2024-02-20 09:35:55.692482 - Motion detected!
2024-02-20 09:37:34.977240 - Motion detected!
2024-02-20 09:38:05.072048 - Motion detected!
2024-02-20 09:38:44.177007 - Motion detected!
2024-02-20 09:39:17.273991 - Motion detected!
2024-02-20 09:39:47.355609 - Motion detected!
2024-02-20 09:40:38.505508 - Motion detected!
2024-02-20 09:41:08.618499 - Motion detected!
2024-02-20 09:41:38.702827 - Motion detected!
2024-02-20 09:46:12.456997 - Motion detected!
2024-02-20 09:46:45.545591 - Motion detected!
2024-02-20 09:47:15.627102 - Motion detected!
2024-02-20 09:48:27.826980 - Motion detected!
2024-02-20 09:48:57.908499 - Motion detected!
2024-02-20 09:51:13.287051 - Motion detected!
2024-02-20 09:52:10.465570 - Motion detected!
2024-02-20 09:53:46.735651 - Motion detected!
2024-02-20 09:54:16.818498 - Motion detected!
2024-02-20 09:54:46.902594 - Motion detected!
2024-02-20 09:55:23.008562 - Motion detected!
